Library,,#,Title,Abstract,Palavra-Chaves,CIs1,CEs1,Revisor 1,CIs2,CEs2,Revisor 2,Decision
Scopus,1023,1,"Artificial Intelligence Enabled, Social Media Leveraging Job Matching System for Employers and Applicants","Social media is increasingly becoming a window to the user's personality. Hiring the right candidate is a formidable task for any organization and particularly in the highly competitive software industry. This paper presents a machine learning and natural language processing based system to leverage social media to assess job applicants for their suitability for a given job. We use LinkedIn profiles to assess the technical suitability and combine Twitter posts with them to assess the emotional intelligence of the applicant. The system thus indicates both the technical and soft skills perspective of the job applicants. The system can be used by both prospective employers and employees. Employers can use it to shortlist job applicants and prospective employees can use it to evaluate their chances, retrospect, and take any corrective action. The results from the created system are encouraging. © 2022 IEEE.",Learning algorithms; Natural language processing systems; Personnel; Social networking (online); Software engineering; Hiring; Job applicant; Job matching; Language processing; Machine-learning; Matching system; Natural language processing; Natural languages; Regression; Social media; Machine learning,IC1; IC2; IC4,,YES,,,,
Scopus,1038,2,ICode-An Unified Competitive Coding Profile Platform,"Although a software developer is capable of creating excellent software without the necessity for competitive coding. Having their hands in it may increase the project's efficiency and scalability. For every developer, problem solving is a must-required skill that is gained through competitive coding. Many technical recruiters use competitive programming as a barometer to assess a candidate's potential for the post of software engineer, including many prestigious Silicon Valley companies like Google, Facebook,etc. Since there is no such platform that helps students showcase their coding status on every registered platform, the proposed system helps to have such. ICode is a unified platform to help students visualize their coding profile status on a single site at one go. There is no public API that can be used to retrieve the data.from websites; hence, web scraping becomes relevant in this situation. It is one of the strategies of information retrieval.lnstead of manually copying data from the browser, with web scraping, it becomes easy to automatically extract the data. without any effort and perform analysis on it. The paper mainly targets the visualization of the data scrapped from competitive coding platforms to create a digital resume and perform analysis based on the scraped data. This is a digital resume.will be a revolution in the modern-day recruitment process since it will contain realtime user's details and coding platform ratings. and their analysis, project information, and digital bridges to platforms like Github and LinkedIn, where recruiters can actually review the users's information in a better way as compared to the old paper resume. © 2024 IEEE.",Data visualization; Visualization; API; Coding platform; Data; Digital resumes; Problem-solving; Project efficiency; Retrieval; Silicon valley; Software developer; Web scrapings; Websites,IC1; IC2,,NO,,,,
ACM Digital Library,108,3,The Landscape of Toxicity: An Empirical Investigation of Toxicity on GitHub,"Toxicity on GitHub can severely impact Open Source Software (OSS) development communities. To mitigate such behavior, a better understanding of its nature and how various measurable characteristics of project contexts and participants are associated with its prevalence is necessary. To achieve this goal, we conducted a large-scale mixed-method empirical study of 2,828 GitHub-based OSS projects randomly selected based on a stratified sampling strategy. Using ToxiCR, an SE domain-specific toxicity detector, we automatically classified each comment as toxic or non-toxic. Additionally, we manually analyzed a random sample of 600 comments to validate ToxiCR's performance and gain insights into the nature of toxicity within our dataset. The results of our study suggest that profanity is the most frequent toxicity on GitHub, followed by trolling and insults. While a project's popularity is positively associated with the prevalence of toxicity, its issue resolution rate has the opposite association. Corporate-sponsored projects are less toxic, but gaming projects are seven times more toxic than non-gaming ones. OSS contributors who have authored toxic comments in the past are significantly more likely to repeat such behavior. Moreover, such individuals are more likely to become targets of toxic texts.",developers' interactions; empirical analysis; pull request; toxicity,IC1; IC3; IC4,,NO,,,,
Scopus,1108,4,Employer brand and its unexplored impact on intent to join,"Purpose: The purpose for this paper is to determine the various dimensions of employer brand in the IT sector of India and analyse their impact on the final intent of the candidates to join an organisation. A five-factor employer brand (EB) model and three-factor intent to join (ITJ) model have been tested for reliability and validity through confirmatory factor analysis (CFA). A structural model is empirically tested with EB as independent variable and ITJ as dependent variable through structured equation modelling. Design/methodology/approach: The items for the independent variable EB are generated with the help of literature and semi-structured interviews with final-year student placement coordinators of B.Tech and MCA, studying in central, state and deemed universities of India. For ITJ, the variables are adopted from the literature and confirmed through CFA in the Indian context. Structured equation modelling has been used to analyse the relationship between EB and ITJ. Findings: Five dimensions of EB were explored as growth and development opportunity, company’s reputation, acceptance and belongingness, work–life balance and ethics and CSR. ITJ was found to be composed of intent to pursue, employer’s attractiveness and employer’s reputation. EB has been found to be an effective contributor to ITJ. Research limitations/implications: The current study has been conducted in the IT sector, and other sectors have not been included. The universities considered for the study were limited to central, state and deemed universities of India. Apart from intention to join, there are other attitudinal and behavioural aspects that have not been included in the current study. Originality/value: This study gives empirical evidence on EB to be an important antecedent of ITJ from the perspective of prospective employees of a developing nation. © 2018, Emerald Publishing Limited.",,IC1,,YES,,,,
ACM Digital Library,113,5,UnitCon: Synthesizing Targeted Unit Tests for Java Runtime Exceptions,"We present UnitCon, a system for synthesizing targeted unit testsfor runtime exceptions in Java programs. Targeted unit tests aim to reveal a bug at a specific location in the program under test. This capability benefits various tasks in software development, such as patch testing, crash reproduction, or static analysis alarm inspection. However, conventional unit test generation tools are mainly designed for regression tests by maximizing code coverage; hence they are not effective at such target-specific tasks. In this paper, we propose a novel synthesis technique that effectively guides the search for targeted unit tests. The key idea is to use static analysis to prune and prioritize the search space by estimating the semantics of candidate test cases. This allows us to efficiently focus on promising unit tests that are likely to trigger runtime exceptions at the target location. According to our experiments on a suite of Java programs, our approach outperforms the state-of-the-art unit test generation tools. We also applied UnitCon for inspecting static analysis alarms for null pointer exceptions (NPEs) in 51 open-source projects and discovered 21 previously unknown NPE bugs.",Program analysis; Program synthesis; Software testing,,EC5,NO,,,,
ACM Digital Library,116,6,MetaAgents: Large Language Model Based Agents for Decision-Making on Teaming,"Significant advancements have occurred in the application of Large Language Models (LLMs) for social simulations. Despite this, their abilities to perform teaming in task-oriented social events are underexplored. Such capabilities are crucial if LLMs are to effectively mimic human-like social behaviors and form efficient teams to solve tasks. To bridge this gap, we introduce MetaAgents, a social simulation framework populated with LLM-based agents. MetaAgents facilitates agent engagement in conversations and a series of decision making within social contexts, serving as an appropriate platform for investigating interactions and interpersonal decision-making of agents. In particular, we construct a job fair environment as a case study to scrutinize the team assembly and skill-matching behaviors of LLM-based agents. We take advantage of both quantitative metrics evaluation and qualitative text analysis to assess their teaming abilities at the job fair. Our evaluation demonstrates that LLM-based agents perform competently in making rational decisions to develop efficient teams. However, we also identify limitations that hinder their effectiveness in more complex team assembly tasks. Our work provides valuable insights into the role and evolution of LLMs in task-oriented social simulations.",collaborative and social computing; large language models; social simulation,,EC5,NO,,,,
Springer Nature,1160,7,Empowering career development: a comprehensive AI-driven system for personalised guidance and recommendations,,,,EC5,NO,,,,
Springer Nature,1213,8,"Understanding mindsets, skills, current practices, and barriers of adoption of digital accessibility in Kuwait’s software development landscape",,,,EC5,NO,,,,
ACM Digital Library,128,9,A Review of Peer Code Review in Higher Education,"Peer review is the standard process within academia for maintaining publication quality, but it is also widely employed in other settings, such as education and industry, for improving work quality and for generating actionable feedback to content authors. For example, in the software industry peer review of program source code—or peer code review—is a key technique for detecting bugs and maintaining coding standards. In a programming education context, although peer code review offers potential benefits to both code reviewers and code authors, individuals are typically less experienced, which presents a number of challenges. Some of these challenges are similar to those reported in the educational literature on peer review in other academic disciplines, but reviewing code presents unique difficulties. Better understanding these challenges and the conditions under which code review can be taught and implemented successfully in computer science courses is of value to the computing education community. In this work, we conduct a systematic review of the literature on peer code review in higher education to examine instructor motivations for conducting peer code review activities, how such activities have been implemented in practice, and the primary benefits and difficulties that have been reported. We initially identified 187 potential studies and analyzed 51 empirical studies pertinent to our goals. We report the most commonly cited benefits (e.g., the development of programming-related skills) and barriers (e.g., low student engagement), and we identify a wide variety of tools that have been used to facilitate the peer code review process. While we argue that more empirical work is needed to validate currently reported results related to learning outcomes, there is also a clear need to address the challenges around student motivation, which we believe could be an important avenue for future research.",Peer review; code review; higher education; peer code review; programming course; systematic literature review; systematic review,,EC5,NO,,,,
Springer Nature,1308,10,Gender Discrimination in the Hiring of Skilled Professionals in Two Male-Dominated Occupational Fields: A&#xa0;Factorial Survey Experiment with Real-World Vacancies and Recruiters in Four European Countries,,,IC1; IC2; IC3; IC4; IC5,,YES,,,,
