Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Open Access,Source,EID
Mohan M.C.; Thampi S.P.; Ajayaghosh D.,"Mohan, Meghana C. (60286004900); Thampi, Santhosh P. (60285512200); Ajayaghosh, Dhanya (59424590900)",60286004900; 60285512200; 59424590900,Effect of Social Media Visibility on Intention to Apply: The Mediating Role of Herd Behaviour,2026,"Studies in Systems, Decision and Control",620,,,667,678,0,10.1007/978-3-032-02056-7_54,https://www.scopus.com/pages/publications/105026791680?origin=resultslist,"This research is an attempt to assess the effect of social media visibility (SMV) on the intention to apply among passive job seekers in the IT sector, from the select countries in Middle Eastern region. Herd behaviour is used as a mediator on the relationship between social media visibility and the intention to apply. Passive job seeker is someone who is currently employed and not actively looking for a new job, but is open to hearing about new opportunities if the right one comes along; essentially, they are not actively applying for jobs but might be willing to consider a change if presented with an attractive job offer. This research tries to understand the relation between social media visibility and intention to apply, among the passive job seekers with herd behaviour in the mediating role. Judgemental sampling was used for this research to assess how social media visibility affects decision making of passive job seekers. It was found that the social media visibility has effect on Intention to apply. The study proposes that there is a partial mediation of herd behaviour on the relationship between social media visibility and Intention to apply. © The Author(s), under exclusive license to Springer Nature Switzerland AG 2026.",Herd behaviour; Intention to apply; Social media visibility,,Book chapter,Final,,Scopus,2-s2.0-105026791680
Papoutsoglou M.; Ampatzoglou A.; Mittas N.; Angelis L.,"Papoutsoglou, Maria (57128423800); Ampatzoglou, Apostolos (16027681600); Mittas, Nikolaos (23091209400); Angelis, Lefteris (6602528674)",57128423800; 16027681600; 23091209400; 6602528674,Extracting Knowledge from On-Line Sources for Software Engineering Labor Market: A Mapping Study,2019,IEEE Access,7,,8884193,157595,157613,60,10.1109/ACCESS.2019.2949905,https://www.scopus.com/pages/publications/85078065466?origin=resultslist,"Software engineering is a continuously evolving sector and the demands of the related labor market result in a wide variety of job openings, ranging from developers to customer service positions. Thus, there is a need to continuously monitor labor market trends using data and analytics. Both employers and employees can benefit by capturing emerging trends which can facilitate continuous learning and training in new technologies, support of better matching between a job offer and the ideal candidate and expertise detection. To fulfill these needs, the results of labor market analytics need to reach the stakeholders timely and accurately. However, often delays occur, which stem from time-consuming approaches based on collecting data from traditional sources, such as questionnaires or interviews. Recently, researchers started leveraging content from digital sources, which are easily accessed and contain a wealth of information. This paper presents the results of a Systematic Mapping Study on digital sources that can be used to address the data analytics needs of the labor market. It provides a multifaceted categorization of the issues involved in the analysis of digital sources of the software engineering labor market. It aims to identify digital labor market sources for data retrieval which are appropriate for employers and employees analytics. Additionally, it aims to connect different skill types, needs and goals of labor market with the utilization of digital sources and data analysis methods. In total 86 primary studies were selected and each one was evaluated and classified aiming to identify the: (a) digital sources that are used for labor market analytics; (b) type of skills they examine; (c) methods which are used to utilize the raw digital content; (d) goals for which every primary study is conducted; (e) beneficiaries (stakeholder) of the results; and (f) time trends for all the above. © 2013 IEEE.",digital sources; Human factor; labor market analytics; skills; software engineering,Data Analytics; Employment; Human engineering; Industrial relations; Mapping; Personnel training; Software engineering; Surveys; Continuous learning; Customer services; Data analysis methods; Digital sources; Labor markets; skills; Systematic mapping studies; Wealth of information; Commerce,Article,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85078065466
Cobb N.K.; Poirier J.,"Cobb, Nathan K. (35106641700); Poirier, Josée (35747078500)",35106641700; 35747078500,Implementation of an online pragmatic randomized controlled trial: A methodological case study,2013,Translational Behavioral Medicine,3,3,,295,303,4,10.1007/s13142-013-0223-2,https://www.scopus.com/pages/publications/84884152746?origin=resultslist,"Rigorous evaluation of eHealth interventions is acutely needed but can be challenging to execute in a cost- and time-efficient way. The purpose of this study is to describe a randomized controlled trial carried out as part of an approach that evaluates and informs product development throughout an intervention's life cycle. We present the methodological case of a pragmatic randomized controlled trial evaluating the effectiveness of the web-based intervention ""Daily Challenge."" We conducted the trial entirely online and leveraged existing resources to implement it quickly and within budget. One thousand five hundred three participants were recruited in 49 days (17.1 % of candidates assessed for eligibility). Then, 68.7 % of participants were reached for follow-up at 30 days and 62.5 % at 90 days. Data collection (baseline to 90-day follow-up) was completed within 5 months. Rigorous trials can be conducted efficiently and in a timely manner, enabling evaluation on a continuous basis. Development should include ongoing empirical input to inform product iterations. © 2013 The Author(s).",Health informatics; Intervention; Randomized controlled trial; Research; Software development,adult; article; female; follow up; health; human; male; methodology; online system; priority journal; randomized controlled trial (topic); telehealth; wellbeing,Article,Final,All Open Access; Bronze Open Access,Scopus,2-s2.0-84884152746
Chinn D.; Vandegrift T.,"Chinn, Donald (7005655965); Vandegrift, Tammy (55663719300)",7005655965; 55663719300,Uncovering student values for hiring in the software industry,2008,ACM Journal on Educational Resources in Computing,7,4,4,,,10,10.1145/1316450.1316454,https://www.scopus.com/pages/publications/42149110221?origin=resultslist,"This article provides an analysis of student responses to an exercise used in a computer ethics and a software engineering course to raise awareness of issues related to hiring, including issues of professional responsibility and diversity. Students from two different universities were asked to evaluate four candidates for two positions in a fictitious software company. They then developed a set of criteria for evaluation and constructed an argument to support their choices. After discussing their choice with others in the class, students could change their hiring decisions. Students' hiring criteria were coded using emergent categories, inferences in the arguments were coded according to the criteria, and reasons for changing hiring decisions were coded. Students considered criteria that fell into five areas: technical skills, soft skills, personal traits, previous employment, and career/job considerations. Reasons for changing hiring choices included previous experience, diversity considerations, people skills, leadership skills, and reaching consensus. The article also reports inferences students made about the job candidates. © 2008 ACM.",Diversity; Ethics; Hiring criteria,Computer software; Decision making; Employment; Job analysis; Learning systems; Computer ethics; Software company; Students,Article,Final,,Scopus,2-s2.0-42149110221
Nishanthi S.; Kapiyangoda K.K.,"Nishanthi, Sivananthan (60193310600); Kapiyangoda, Kumudu Kushlani (57204636948)",60193310600; 57204636948,Implications of Job Hopping on Employees: A Case Study From the Sri Lankan Software Development Industry,2025,"Shaping Entrepreneurial Marketing, Volume 1: A South Asian Perspective",1,,,151,164,0,10.1108/978-1-83708-852-220251010,https://www.scopus.com/pages/publications/105021754915?origin=resultslist,"This study aims to explore the implications of job hopping for employees attached to the software development industry in Sri Lanka and to observe whether job hopping meets employee expectations. Adopting a qualitative methodology and a case study approach, this study incorporates the Tonnquist’s model to identify the gap between job hoppers’ expectations and reality. In the software industry, job seekers experience a salary increase as they change jobs, even though they have to work long hours without breaks or holidays. In addition, job hoppers also face issues such as job security, insurance and medical claims and healthy relationships with managers and their peers. Job hopping helps workers ascend the career ladder quickly while dealing with issues of less power in making decisions. Furthermore, the autonomy of newly recruited employees might be limited, which could restrict their career growth. It is also apparent that employees consider the benefits and drawbacks of job hopping before changing. However, difficulties could arise if these implications are not carefully evaluated to meet job hoppers’ needs. The findings from this research would facilitate employees making informed decisions before changing jobs. © 2025 Narayanage Jayantha Dewasiri, Payal Kumar, Nirma Sadamali Jayawardena and Mananage Shanika Hansini Rathnasiri.",Case study; Employee implications; Job hopping; Software development industry; Tonnquist’s model,Employment; Hoppers; Wages; Case study approach; Case-studies; Development industry; Employee implication; Job-hopping; Qualitative methodologies; S models; Software development industry; Sri Lanka; Tonnquist’s model; Software design,Book chapter,Final,,Scopus,2-s2.0-105021754915
Humpl S.,"Humpl, Stefan (15135609200)",15135609200,Professionalisation in ERP selection revisited,2021,CEUR Workshop Proceedings,2814,,,,,0,,https://www.scopus.com/pages/publications/85101618532?origin=resultslist,"The implementation of new ERP systems or the adaptation of existing ERP systems is a central challenge for modern companies, which is also reflected in the development of relevant job advertisements. A specific analysis of relevant job advertisements in Austria shows a professionalisation in ERP selection, but also a shift towards employing such experts in the own company versus outsourcing this expertise. Job titles and job specific requirements (competences) mentioned in job advertisements in 2017 and 2019 show a respective development. But it also becomes visible that the labour market for relevant experts is marked by a high demand and insufficient supply, which implies that the more recent job advertisements are broader, showing a hope for somehow fitting candidates. Copyright © 2021 for this paper by its authors.",ERP selection; Professionalisation; Requirements,Employment; Austria; ERP selection; ERP system; High demand; Labour market; Software engineering,Conference paper,Final,,Scopus,2-s2.0-85101618532
Marlow J.; Dabbish L.,"Marlow, Jennifer (23995552600); Dabbish, Laura (10046192800)",23995552600; 10046192800,Activity traces and signals in software developer recruitment and hiring,2013,"Proceedings of the ACM Conference on Computer Supported Cooperative Work, CSCW",,,,145,155,89,10.1145/2441776.2441794,https://www.scopus.com/pages/publications/84874885595?origin=resultslist,"Social networking tools now allow professionals to post and share their work in online spaces. These professionals build reputation within a community of practice, often with the goal of finding a job. But how are the visible traces of their actions and interactions in online workspaces used in the hiring process? We conducted interviews with members of the GitHub ""social coding"" community to understand how profiles on the site are used to assess people during recruitment and hiring for software development positions. Both employers and job seekers pointed to specific cues provided on profiles that led them to make inferences (or form impressions) about a candidate's technical skills, motivations, and values. These cues were seen as more reliable indicators of technical abilities and motivation than information provided on a resume, because of the transparency of work actions on GitHub and relative difficulty of manipulating behavior traces. The use of online workspaces like GitHub has implications for the type of information sought by employers as well as the activity traces job hunters might seek to leave. Copyright 2013 ACM.",Hiring; Impression formation; Impression management; Open source software development; Transparency,Motivation; Open source software; Activity traces; Communities of Practice; Hiring; Hiring process; Impression formation; Impression management; Networking tools; Open-source software development; Social-networking; Software developer,Conference paper,Final,,Scopus,2-s2.0-84874885595
Stamm S.,"Stamm, Sid (23092219200)",23092219200,Desired Qualifications Sought in Entry Level Software Engineers,2023,SIGCSE 2023 - Proceedings of the 54th ACM Technical Symposium on Computer Science Education,1,,,854,860,3,10.1145/3545945.3569849,https://www.scopus.com/pages/publications/85149855586?origin=resultslist,"Global demand for software engineers continues to strain the technology sector with unfilled software engineering positions and stiff competition for hiring developers who are on the market. To attract more candidates, technology firms have increasingly been working closely with universities to recruit new graduates to fill their jobs. Universities hoping to minimize mismatches in job placement for new software developers should teach the skills and attributes that enable entry-level software developers to succeed. This paper presents a case study of hiring demands at one large, well-established technology company that reveals the most sought-after attributes in new hires. We discuss results of our interviews with five software development hiring managers and the results from a wide survey of engineers and architects from various levels and experiences. The interviews and surveys reveal that some qualifications are widely desired, and others have varying demand based on functional area, technology, or type of development. Ultimately, professional skills (e.g., teamwork) and personality traits (e.g., strong initiative) top the list of desired attributes, along with a few fundamentally broad technical skills. One key takeaway is that candidates who learn professional skills from university programs may be more readily hired into their first software engineering job than those whose education focused mostly on technical areas. © 2023 ACM.",employer-sought skills; hireability; professional skills; software engineering,Employment; Engineering education; Professional aspects; Software design; Case-studies; Employer-seek skill; Engineering position; Global demand; Hireability; Hiring managers; Professional skills; Software developer; Technology companies; Technology sectors; Engineers,Conference paper,Final,,Scopus,2-s2.0-85149855586
Montandon J.E.; Politowski C.; Silva L.L.; Valente M.T.; Petrillo F.; Guéhéneuc Y.-G.,"Montandon, João Eduardo (54584047800); Politowski, Cristiano (57189703274); Silva, Luciana Lourdes (23971520400); Valente, Marco Tulio (55437198000); Petrillo, Fabio (25655430600); Guéhéneuc, Yann-Gaël (13613429100)",54584047800; 57189703274; 23971520400; 55437198000; 25655430600; 13613429100,What skills do IT companies look for in new developers? A study with Stack Overflow jobs,2021,Information and Software Technology,129,,106429,,,54,10.1016/j.infsof.2020.106429,https://www.scopus.com/pages/publications/85092043326?origin=resultslist,"Context: There is a growing demand for information on how IT companies look for candidates to their open positions. Objective: This paper investigates which hard and soft skills are more required in IT companies by analyzing the description of 20,000 job opportunities. Method: We applied open card sorting to perform a high-level analysis on which types of hard skills are more requested. Further, we manually analyzed the most mentioned soft skills. Results: Programming languages are the most demanded hard skills. Communication, collaboration, and problem-solving are the most demanded soft skills. Conclusion: We recommend developers to organize their resumé according to the positions they are applying. We also highlight the importance of soft skills, as they appear in many job opportunities. © 2020",Hard skills; Hiring; Soft skills; Stack overflow,Information systems; Card-sorting; Growing demand; High-level analysis; IT companies; Job opportunities; Soft skills; Stack overflow; Software engineering,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85092043326
Ben-Gal H.C.; Forma I.A.; Singer G.,"Ben-Gal, Hila Chalutz (50061015700); Forma, Iris A. (44861300400); Singer, Gonen (7102795609)",50061015700; 44861300400; 7102795609,A flexible employee recruitment and compensation model: A bi-level optimization approach,2022,Computers and Industrial Engineering,165,,107916,,,7,10.1016/j.cie.2021.107916,https://www.scopus.com/pages/publications/85122829896?origin=resultslist,"The growing practice of flexible work following the COVID-19 pandemic is likely to have a significant impact on management and human resource (HR) practices. In this paper, we propose a novel bi-level mathematical programming model that can serve as a decision support tool for firms in real-life settings to improve recruitment and compensation decisions associated with hybrid and flexible work plans. The proposed model is composed of two levels: the first level reflects the company's goal of maximizing profitability by offering competitive salaries to candidates. The second level reflects the candidate's goal of minimizing the gap between their desired salary and the perceived benefits of a preferred flexible plan. We show that the model provides an exact solution based on a mixed integer formulation and present a computational analysis based on changing candidate behaviors in response to the firm's strategy, thus demonstrate how the problem's parameters influence the decision policy. Our proposed model leads to efficient managerial practices, compared to conventional models that utilize a single non-flexible plan. Results indicate that introducing a flexible work plan leads to an improvement of up to 59 percent in the firm's profitability. We apply the optimal solution of the bi-level model to a real-world case study of a company recruiting software engineers. Results demonstrate the applicability of the optimal solution to a real-world dataset. This paper advances knowledge by proposing a novel bi-level model for effective recruitment and compensation decisions in real-world flexible workforce settings. © 2021",Bi-level optimization model; Compensation; Flexible work; Human Resource Analytics; Hybrid work; Mathematical programming; Recruitment,Compensation (personnel); Decision support systems; Human resource management; Optimal systems; Profitability; Bi-level models; Bi-level optimization models; Compensation; Flexible work; Human resource analytics; Hybrid work; Optimal solutions; Real-world; Recruitment; Work plan; Mathematical programming,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85122829896
