Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
Automating Curriculum Vitae Recommendation Processes Through Machine Learning,Accelerating Discoveries in Data Science and Artificial Intelligence I,,,,10.1007/978-3-031-51167-7_80,Praveen Kumar KarriD. Jaya KumariP. Laxmi KanthP. Ramamohan RaoK. Sowmya Sree,2024,https://link.springer.com/chapter/10.1007/978-3-031-51167-7_80,Conference paper
Gender Discrimination in Hiring Decisions: Evidence from a Field Experiment,Gender Issues,,,,10.1007/s12147-025-09398-0,S. Haluk CitciNazire BegenDerya Nur Deniz,2025,https://link.springer.com/article/10.1007/s12147-025-09398-0,Article
Impact of Digital Media and Digitalized Transformation on Talent Acquisition,Innovative Computing and Communications,,,,10.1007/978-981-97-4152-6_33,SonikaAshita Chadha,2025,https://link.springer.com/chapter/10.1007/978-981-97-4152-6_33,Conference paper
"Addressing intersectional bias in AI recruitment using HITHIRE model: a fair, ethical, green AI and transparent hiring solution for Saudi Arabia’s diverse workforce in line with vision 2030",AI and Ethics,,,,10.1007/s43681-025-00844-z,Elham AlbaroudiTaha MansouriMohammad HatamlehAli Alameer,2025,https://link.springer.com/article/10.1007/s43681-025-00844-z,Article
Investigating the online recruitment and selection journey of novice software engineers: Anti-patterns and recommendations,Empirical Software Engineering,,,,10.1007/s10664-024-10498-w,Miguel SetúbalTayana ConteMarcos KalinowskiAllysson Allex Araújo,2024,https://link.springer.com/article/10.1007/s10664-024-10498-w,Article
FairHire: A Fair and Automated Candidate Screening System,"Machine Intelligence, Tools, and Applications",,,,10.1007/978-3-031-65392-6_32,Srushti HaryanRupin MalikPrathamesh RedijSujata Kulkarni,2024,https://link.springer.com/chapter/10.1007/978-3-031-65392-6_32,Conference paper
Mitigating Bias in&#xa0;Recruitment: A Practical Approach to&#xa0;CV De-identification Considering Privacy Sensitive Information,"Availability, Reliability and Security",,,,10.1007/978-3-032-00633-2_11,Sascha LöbnerJetzabel SernaFrédéric TronnierWelderufael TesfayKai Rannenberg,2025,https://link.springer.com/chapter/10.1007/978-3-032-00633-2_11,Conference paper
A New Dataset for&#xa0;Keyword Extraction from&#xa0;IT Job Descriptions,Advances in Information Retrieval,,,,10.1007/978-3-031-88714-7_37,Nisan FichmanHadar IsaacsonNatalia Vanetik,2025,https://link.springer.com/chapter/10.1007/978-3-031-88714-7_37,Conference paper
An external stability audit framework to test the validity of personality prediction in AI hiring,Data Mining and Knowledge Discovery,,,,10.1007/s10618-022-00861-0,Alene K. RheaKelsey MarkeyLauren D’ArinzoHilke SchellmannMona SloanePaul SquiresFalaah Arif KhanJulia Stoyanovich,2022,https://link.springer.com/article/10.1007/s10618-022-00861-0,Article
Optimizing employee satisfaction in India’s IT sector: a focus on employer branding,Humanities and Social Sciences Communications,,,,10.1057/s41599-024-03689-9,Anupama SharmaRahul RajManish KumarAshulekha GuptaAmar JohriMohammad Asif,2025,https://link.springer.com/article/10.1057/s41599-024-03689-9,Article
